交通银行银行卡交易明细查询表,,,,,,,,,,
银行卡号：XXXX 姓名：XXX,,,,,本次查询时间段：2023/05/07 至 2023/08/07      总收入：5139.8元  总支出：380.29元,,,,,
记账日期,交易时间,交易地点,交易方式,支出金额,收入金额,余额,对方户名,对方账户,对方开户行,摘要
2023-08-05,2023-08-05 13:36:00,网络支付,借记卡退货,--,139.8,XXXX,京东商城平台商户,8.15E+14,京东网银在线,
2023-08-04,2023-08-04 12:41:00,支付宝,网上支付,5,--,XXXX,支付宝（中国）网络技术有限公司,215500690,支付宝（中国）网络技术有限公司,网上支付 其他商家消费 订单编号202305111122572019730590176580 百货 交易流水号202305111122572019730590176580
2023-08-01,2023-08-01 14:56:00,支付宝,网上支付,23.9,--,XXXX,支付宝（中国）网络技术有限公司,215500690,支付宝（中国）网络技术有限公司,网上支付 其他商家消费 订单编号202305111122572019730590176580 义乌市电子商务有限公司 交易流水号202305111122572019730590176580
2023-07-28,2023-07-28 20:13:00,支付宝,网上支付,100,--,XXXX,支付宝（中国）网络技术有限公司,215500690,支付宝（中国）网络技术有限公司,网上支付 其他公共便民服务 订单编号202305111122572019730590176580 XX供电公司 交易流水号202305111122572019730590176580
2023-07-27,2023-07-27 7:52:00,支付宝,网上支付,59.21,--,XXXX,支付宝（中国）网络技术有限公司,215500690,支付宝（中国）网络技术有限公司,网上支付 其他商家消费 订单编号202305111122572019730590176580 上海信息技术有限公司 交易流水号202305111122572019730590176580
2023-07-25,2023-07-25 21:56:00,支付宝,网上支付,12.8,--,XXXX,支付宝（中国）网络技术有限公司,215500690,支付宝（中国）网络技术有限公司,网上支付 其他商家消费 订单编号202305111122572019730590176580 湖北科技有限公司 交易流水号202305111122572019730590176580
2023-05-14,2023-05-14 22:06:00,网银在线（北京）科技有限公司,其它,58.88,--,XXXX,网银在线（北京）科技有限公司,1.11E+11,网银在线（北京）科技有限公司,网上支付 实物商品租购 订单编号202305111122572019730590176580 网银在线（北京）科技有限公司 交易流水号202305111122572019730590176580
2023-05-12,2023-05-12 17:46:00,微信支付,网上支付,30,--,XXXX,微信红包,1000039801,财付通支付科技有限公司,网上支付 虚拟商品购买 订单编号202305111122572019730590176580 微信红包 交易流水号202305111122572019730590176580
2023-05-11,2023-05-11 12:12:00,微信支付,网上支付,9.1,--,XXXX,微信红包,1000039901,财付通支付科技有限公司,网上支付 虚拟商品购买 订单编号202305111122572019730590176580 微信红包 交易流水号202305111122572019730590176580
2023-05-11,2023-05-11 11:22:00,网银在线（北京）科技有限公司,网上支付,81.4,--,XXXX,京东白条及金条业务,1.10E+11,网银在线（北京）科技有限公司,网上支付 贷款还款 订单编号202305111122572019730590176580 白条合并还款网银平台 交易流水号202305111122572019730590176580
2023-05-10,2023-05-10 18:35:00,企业网银,代发工资,--,5000,XXXX,XXXX公司,4.43E+20,交通银行深圳车公庙支行,代发工资                                                                                          PAY022023年4月工资发放
